open,high,low,volume,close
6976.1030327,7388.40362,6946.6297951,3.55898,7330.6369927
7327.6045224,7479.42,7253.4378964,1.829645,7330.0231982
7363.287571,7489.79504,7306.9032046,3.365345,7353.25811
7329.9575164,7787.8225,7252.115,10.250183,7740.114359
7771.1164245,8233.2705496,7682.115,29.517401,8158.7229
8200.589385,8434.5150132,7861.1573274,22.190158,8038.8087182
8006.538425,8017.641594,7745.98149,21.89694,7806.6153599
7840.371945,8179.962,7675.18476,3.934952,8173.935
8162.5425,8278.010252,7946.4100932,5.909842,8035.222767
8010.7858425,8183.2673724,7949.1480635,5.135573,8177.237937
8177.1644073,8196.355659,8053.1504838,3.153253,8134.0717848
8114.1555208,8882.7922854,8092.8013292,32.767173,8785.104984
8786.507175,8919.0989006,8567.4617859,17.353857,8786.9959285
8814.967999,8845.561624,8567.21623,10.94211,8735.5572124
8704.5102928,8998.4684252,8665.5842224,16.43333,8908.8866
8936.72025,9000.150988,8813.6085,14.642997,8925.518
8984.5275273,9216.6890204,8507.1055639,34.269219,8690.5828436
8710.7068352,8775.6589296,8031.12709,61.213957,8629.056119
8601.169185,8804.5679253,8366.155,57.244242,8747.5420926
8732.0644,8790.012,8562.0033711,7.234232,8640.77892
8619.8374223,8658.2763018,8211.7911182,16.972094,8311.149
8364.1383216,8523.8473541,8190.9900896,10.073295,8377.9707312
8400.6171816,8425.9734325,8237.8216896,6.49606,8349.1749984
8328.2784968,8620.4491802,8269.9096,5.839997,8591.3810664
8578.2664817,8982.343692,8543.2933288,10.041794,8875.5423102
8875.864527,9374.81259,8852.5366025,20.354689,9366.6641237
9387.786989,9467.28045,9204.4851572,18.264025,9289.7244051
9273.6886744,9570.663027,9136.4727119,28.927134,9482.7342
9507.2066264,9578.9473004,9146.3779176,13.871029,9331.3326306
9294.0728112,9486.567,9226.3253838,3.218111,9392.2925121
9330.6963952,9482.68361,9101.9259366,8.810074,9351.0128544
9316.7285241,9593.8465,9200.2411725,14.976716,9297.3276832
9300.0553044,9354.0176702,9043.999117,16.681366,9169.7953116
9191.5551492,9864.5152394,9093.0981503,28.317405,9612.3828072
9627.033312,9854.83157,9486.7595125,12.99766,9735.8818446
9755.5971078,9879.20596,9680.87979,10.074407,9791.05998
9809.1787737,9996.35,9668.3512,6.446713,9898.1739792
9939.0421062,10198.474,9887.57417,9.199912,10116.07896
10139.94432,10184.2620975,9680.6725,16.507298,9853.3398362
9830.6353134,10351.248,9670.9734002,27.669135,10221.81192
10286.1730088,10485.680716,10090.7670895,26.658223,10302.68078
10324.3992398,10543.27425,10001.1150252,41.074392,10221.1639584
10200.6164196,10411.7200992,10003.0342462,27.715841,10343.4081
10353.98592,10411.7200992,9771.7285,29.339565,9898.05684
9864.036,10079.0198208,9618.9322312,38.368317,9921.63375
9887.02107,9973.121547,9441.0063184,41.629615,9668.6810002
9684.8673999,10295.91,9529.118676,24.467001,10177.7526536
10171.7835205,10293.024,9358.9177947,24.794959,9607.077196
9636.722,9732.7462253,9418.743308,36.280594,9618.4338096
9587.5941325,9831.0872775,9540.593215,16.894076,9683.3238432
9624.0605475,9730.284861,9527.6865625,12.722981,9695.4394954
9612.4585775,10032.181526,9612.4585775,16.43576,9987.4625072
9977.540985,10040.313617,9447.0393963,24.535299,9647.7518606
9608.547487,9717.7522893,9187.3037912,31.358594,9325.5037968
9363.0698504,9392.0307129,8521.175,61.499685,8781.8301854
8766.2473125,9224.6424666,8532.63499,39.594291,8799.36
8813.7469536,8953.011,8377.515,43.599004,8707.39014
8710.6844496,8857.3795788,8497.976,19.577259,8556.3312
8522.45514,8765.0530345,8355.613,27.489221,8498.4877548
8497.56285,9030.1776096,8470.3451825,49.587265,8868.3488424
8868.109842,9032.47425,8598.8575,13.747165,8774.2965016
8797.2172452,8946.779658,8648.077074,26.874259,8815.3196754
8825.84597,9277.125,8794.3038572,39.92308,9140.8509516
9160.2417611,9304.33242,9004.022919,36.209884,9207.398466
9152.3764911,9323.04546,8860.2802775,28.906953,8977.670478
8895.4630646,8989.59453,7923.16705,58.571394,8024.4121608
8025.62116,8309.4040722,7493.73654,104.279573,7965.3551712
8001.7525279,8261.229458,7743.60132,43.893179,7925.559376
7922.584998,8094.0565695,7592.9171724,51.570204,8016.0483504
8010.3665092,8062.2243616,4422.04,378.40923,4859.2444899
4878.949295,6194.0229444,3717.974312,789.781768,5744.3739904
5778.831232,5820.7015147,5085.392,292.037034,5248.8737692
5273.2214755,6059.502,5137.1635016,142.600537,5384.129297
5359.56173,5499.7691049,4421.1492,276.579007,5090.4858
5112.6938082,5697.3118275,4902.3634296,243.326635,5428.8549216
5456.961048,5529.32724,4978.9795467,207.262644,5428.5161915
5431.7029996,6707.0464956,5193.545078,398.677803,6231.391544
6255.7764,7040.139169,5666.1070788,343.452843,6267.4936344
6245.1831432,6590.55519,5840.9908668,159.354587,6211.184823
6211.335876,6526.587304,5749.4960091,93.391967,5876.4756672
5874.88192,6691.8276,5730.5406236,211.276054,6520.1241924
6522.0696996,7033.5819428,6406.8767308,315.825511,6757.3422455
6767.3161152,7026.63,6467.7231936,125.801329,6740.9291565
6765.476036,6921.9351548,6519.479291,105.194477,6794.7145184
6798.6990042,6969.5037587,6289.55712,80.821613,6508.0437
6441.8592607,6768.3730248,6060.9445344,96.040194,6391.17396
6330.2013524,6400.9245749,5896.761024,118.225626,5997.1076
5999.69208,6792.5006556,5901.4906707,140.292507,6524.3525733
6563.326659,6892.32159,6430.8521646,86.666665,6551.8794
6551.3448,6817.80198,6187.3608056,87.496329,6741.0611184
